Column1;Peso;Medida;Calorias;Carbs;Gordura;Proteina;Consumo;Fibras;Umidade
Pizza;250.0;g;300.0;35.0;12.0;13.0;0.6;8.0;55.4
Hamburguer;400.0;g;267.0;11.0;16.0;19.3;1.1;0.0;52.4
Coxinha;80.0;g;283.0;34.5;11.8;9.6;1.4;5.0;42.2
Pastel;400.0;g;422.1;48.1;22.7;8.7;1.7;0.9;17.5
Pão de queijo;100.0;g;363.1;34.2;24.6;5.1;0.1;0.6;33.7
Batata-frita;100.0;g;542.7;51.2;36.6;5.6;0.8;2.5;2.7
Pipoca;100.0;g;448.3;70.3;15.9;9.9;0.4;14.3;2.8
Milk-shake;230.0;ml;118.0;15.6;5.2;2.7;0.7;0.7;73.4
Sorvete;60.0;g;255.0;20.6;17.0;4.7;2.0;0.9;57.5
Bolo;100.0;g;410.0;54.7;18.5;6.2;2.0;1.4;19.3
Doce de leite;20.0;g;306.3;59.5;6.0;5.5;2.6;0.0;27.5
Chocolate;100.0;g;539.6;59.6;30.3;7.2;2.3;2.2;1.3
Ovo cozido;40.0;g;145.7;0.6;9.5;13.3;1.2;0.0;75.8
Ovo frito;50.0;g;240.2;1.2;18.6;15.6;0.2;0.0;63.5
Misto quente;100.0;g;241.0;22.8;10.6;14.2;0.7;0.0;74.2
Tapioca;100.0;g;347.8;63.6;10.9;0.1;1.5;0.0;24.9
Queijo;122.0;g;264.3;3.2;20.2;17.4;1.1;0.0;56.1
Maçã;120.0;g;62.5;16.6;0.2;0.2;0.2;2.0;82.6
Banana;118.0;g;91.5;23.8;0.1;1.4;0.0;1.9;73.8
Mamão;150.0;g;40.2;10.4;0.1;0.5;0.3;1.0;88.6
Abacate;100.0;g;96.2;6.0;8.4;1.2;0.3;6.3;83.8
Laranja;90.0;g;45.7;11.5;0.1;1.1;0.4;1.8;87.0
Morango;50.0;g;30.1;6.8;0.3;0.9;0.2;1.7;91.5
Leite;200.0;ml;69.6;15.7;0.1;1.9;0.5;0.0;81.9
Café;60.0;ml;418.6;65.8;11.9;14.7;1.1;51.2;2.9
Suco de laranja;200.0;ml;39.3;9.2;0.1;0.7;0.3;0.4;89.7
Refrigerante;200.0;ml;33.5;8.7;0.0;0.0;0.2;0.0;91.3
Arroz;100.0;g;128.3;28.1;0.2;2.5;0.6;1.6;69.1
Batata assada;100.0;g;51.6;11.9;0.0;1.2;0.4;1.3;86.4
Feijão;100.0;g;76.4;13.6;0.5;4.8;0.6;8.5;80.4
Frango;100.0;g;159.2;0.0;2.5;32.0;1.5;0.0;63.8
Bife;100.0;g;193.7;0.0;4.5;35.9;1.3;0.0;57.5
Lasanha;300.0;g;163.8;32.5;1.2;5.8;1.1;1.6;59.6
Peixe;113.0;g;131.2;0.0;5.6;18.8;1.3;0.0;76.2
Nhoque;200.0;g;180.8;36.8;1.9;5.9;0.6;1.8;55.0
Macarrão;80.0;g;119.5;22.5;0.9;4.9;0.1;0.8;71.4
Alface;25.0;g;8.8;1.7;0.1;0.6;0.0;1.0;97.2
Tomate;50.0;g;15.3;3.1;0.2;1.1;0.1;1.2;95.1
Repolho;70.0;g;17.1;3.9;0.1;0.9;0.0;1.9;94.7
Cenoura;100.0;g;29.9;6.7;0.2;0.8;0.0;2.6;91.7
Couve-flor;100.0;g;19.1;3.9;0.3;1.2;0.0;2.1;94.3
Brocolis;100.0;g;24.6;4.4;0.5;2.1;0.0;3.4;92.6
Nozes;100.0;g;620.1;18.4;59.4;14.0;4.3;7.2;6.2
Atum;110.0;g;165.9;0.0;6.0;26.2;1.4;0.0;64.5
Sardinha;100.0;g;285.0;0.0;24.0;15.9;2.5;0.0;55.1
